# Data generated with generateMultisineData.py script.
# TimeStep= 0.001 EndTime = 10.0 bias = 0.0 amplitude = 2.0
# frequencies = [0.2, 0.5, 0.9, 1.7, 2.8, 4.0]
# phases = [0.0, 1.1, 2.2, 0.7, 1.9, 2.8]
# time, data
8.532000000000000028e+00,-2.592632240439244895e-01
8.532999999999999474e+00,-2.687589439672506408e-01
8.534000000000000696e+00,-2.782226379833269703e-01
8.535000000000000142e+00,-2.876487177644020399e-01
8.535999999999999588e+00,-2.970316443758696523e-01
8.537000000000000810e+00,-3.063659318532957476e-01
8.538000000000000256e+00,-3.156461507351123186e-01
8.538999999999999702e+00,-3.248669315490526066e-01
8.540000000000000924e+00,-3.340229682495697294e-01
8.541000000000000369e+00,-3.431090216042578245e-01
8.541999999999999815e+00,-3.521199225273112243e-01
8.543000000000001037e+00,-3.610505753574402843e-01
8.544000000000000483e+00,-3.698959610784505747e-01
8.544999999999999929e+00,-3.786511404804345782e-01
8.545999999999999375e+00,-3.873112572593299108e-01
8.547000000000000597e+00,-3.958715410531196133e-01
8.548000000000000043e+00,-4.043273104125147399e-01
8.548999999999999488e+00,-4.126739757044976531e-01
8.550000000000000711e+00,-4.209070419466229840e-01
8.551000000000000156e+00,-4.290221115703641286e-01
8.551999999999999602e+00,-4.370148871119399758e-01
8.553000000000000824e+00,-4.448811738286397865e-01
8.554000000000000270e+00,-4.526168822391246627e-01
8.554999999999999716e+00,-4.602180305863050047e-01
8.556000000000000938e+00,-4.676807472208593941e-01
8.557000000000000384e+00,-4.750012729042463189e-01
8.557999999999999829e+00,-4.821759630296648669e-01
8.559000000000001052e+00,-4.892012897595073295e-01
8.560000000000000497e+00,-4.960738440781156111e-01
8.560999999999999943e+00,-5.027903377585398736e-01
8.561999999999999389e+00,-5.093476052420341516e-01
8.563000000000000611e+00,-5.157426054292150175e-01
8.564000000000000057e+00,-5.219724233817314429e-01
8.564999999999999503e+00,-5.280342719335896495e-01
8.566000000000000725e+00,-5.339254932109047669e-01
8.567000000000000171e+00,-5.396435600593584292e-01
8.567999999999999616e+00,-5.451860773785749403e-01
8.569000000000000838e+00,-5.505507833624210257e-01
8.570000000000000284e+00,-5.557355506446768345e-01
8.570999999999999730e+00,-5.607383873494576898e-01
8.572000000000000952e+00,-5.655574380456785955e-01
8.573000000000000398e+00,-5.701909846050617903e-01
8.573999999999999844e+00,-5.746374469633573900e-01
8.575000000000001066e+00,-5.788953837842197858e-01
8.576000000000000512e+00,-5.829634930254722347e-01
8.576999999999999957e+00,-5.868406124075843389e-01
8.577999999999999403e+00,-5.905257197840169114e-01
8.579000000000000625e+00,-5.940179334134111366e-01
8.580000000000000071e+00,-5.973165121334692573e-01
8.580999999999999517e+00,-6.004208554366645689e-01
8.582000000000000739e+00,-6.033305034476643680e-01
8.583000000000000185e+00,-6.060451368027410801e-01
8.583999999999999631e+00,-6.085645764313026840e-01
8.585000000000000853e+00,-6.108887832398246509e-01
8.586000000000000298e+00,-6.130178576984545158e-01
8.586999999999999744e+00,-6.149520393307980060e-01
8.588000000000000966e+00,-6.166917061071910400e-01
8.589000000000000412e+00,-6.182373737421075210e-01
8.589999999999999858e+00,-6.195896948962219541e-01
8.590999999999999304e+00,-6.207494582837521646e-01
8.592000000000000526e+00,-6.217175876858525019e-01
8.592999999999999972e+00,-6.224951408707711797e-01
8.593999999999999417e+00,-6.230833084216610418e-01
8.595000000000000639e+00,-6.234834124728867444e-01
8.596000000000000085e+00,-6.236969053558006904e-01
8.596999999999999531e+00,-6.237253681550137818e-01
8.598000000000000753e+00,-6.235705091762313579e-01
8.599000000000000199e+00,-6.232341623267524389e-01
8.599999999999999645e+00,-6.227182854099191367e-01
8.601000000000000867e+00,-6.220249583346156852e-01
8.602000000000000313e+00,-6.211563812412723706e-01
8.602999999999999758e+00,-6.201148725456141486e-01
8.604000000000000981e+00,-6.189028669016577444e-01
8.605000000000000426e+00,-6.175229130853395754e-01
8.605999999999999872e+00,-6.159776718003941998e-01
8.606999999999999318e+00,-6.142699134079471213e-01
8.608000000000000540e+00,-6.124025155815140398e-01
8.608999999999999986e+00,-6.103784608890860941e-01
8.609999999999999432e+00,-6.082008343039261300e-01
8.611000000000000654e+00,-6.058728206459335075e-01
8.612000000000000099e+00,-6.033977019554491728e-01
8.612999999999999545e+00,-6.007788548011101515e-01
8.614000000000000767e+00,-5.980197475239378280e-01
8.615000000000000213e+00,-5.951239374194312592e-01
8.615999999999999659e+00,-5.920950678596933470e-01
8.617000000000000881e+00,-5.889368653576314561e-01
8.618000000000000327e+00,-5.856531365752621898e-01
8.618999999999999773e+00,-5.822477652782341861e-01
8.620000000000000995e+00,-5.787247092386799130e-01
8.621000000000000441e+00,-5.750879970886701997e-01
8.621999999999999886e+00,-5.713417251261982965e-01
8.622999999999999332e+00,-5.674900540763344603e-01
8.624000000000000554e+00,-5.635372058094161307e-01
8.625000000000000000e+00,-5.594874600188483038e-01
8.625999999999999446e+00,-5.553451508605984355e-01
8.627000000000000668e+00,-5.511146635569337260e-01
8.628000000000000114e+00,-5.468004309666645302e-01
8.628999999999999559e+00,-5.424069301242355756e-01
8.630000000000000782e+00,-5.379386787501772016e-01
8.631000000000000227e+00,-5.334002317352765088e-01
8.631999999999999673e+00,-5.287961776009183490e-01
8.633000000000000895e+00,-5.241311349380129991e-01
8.634000000000000341e+00,-5.194097488271980367e-01
8.634999999999999787e+00,-5.146366872424018579e-01
8.636000000000001009e+00,-5.098166374406540857e-01
8.637000000000000455e+00,-5.049543023404919895e-01
8.637999999999999901e+00,-5.000543968913457871e-01
8.638999999999999346e+00,-4.951216444366561831e-01
8.640000000000000568e+00,-4.901607730731361579e-01
8.641000000000000014e+00,-4.851765120086970473e-01
8.641999999999999460e+00,-4.801735879214794056e-01
8.643000000000000682e+00,-4.751567213227445019e-01
8.644000000000000128e+00,-4.701306229258729319e-01
8.644999999999999574e+00,-4.650999900243109053e-01
8.646000000000000796e+00,-4.600695028805528164e-01
8.647000000000000242e+00,-4.550438211291131796e-01
8.647999999999999687e+00,-4.500275801956222788e-01
8.649000000000000909e+00,-4.450253877347885578e-01
8.650000000000000355e+00,-4.400418200895309107e-01
8.650999999999999801e+00,-4.350814187738070715e-01
8.652000000000001023e+00,-4.301486869815901448e-01
8.653000000000000469e+00,-4.252480861244350430e-01
8.653999999999999915e+00,-4.203840323999026851e-01
8.654999999999999361e+00,-4.155608933934442084e-01
8.656000000000000583e+00,-4.107829847159120140e-01
8.657000000000000028e+00,-4.060545666792713115e-01
8.657999999999999474e+00,-4.013798410124483906e-01
8.659000000000000696e+00,-3.967629476200399408e-01
8.660000000000000142e+00,-3.922079613858482361e-01
8.660999999999999588e+00,-3.877188890235670482e-01
8.662000000000000810e+00,-3.832996659767901049e-01
8.663000000000000256e+00,-3.789541533706661802e-01
8.663999999999999702e+00,-3.746861350169796712e-01
8.665000000000000924e+00,-3.704993144751323464e-01
8.666000000000000369e+00,-3.663973121709314107e-01
8.666999999999999815e+00,-3.623836625750356255e-01
8.668000000000001037e+00,-3.584618114434034442e-01
8.669000000000000483e+00,-3.546351131214041108e-01
8.669999999999999929e+00,-3.509068279135066359e-01
8.670999999999999375e+00,-3.472801195205739710e-01
8.672000000000000597e+00,-3.437580525463948544e-01
8.673000000000000043e+00,-3.403435900753109533e-01
8.673999999999999488e+00,-3.370395913226823525e-01
8.675000000000000711e+00,-3.338488093596959083e-01
8.676000000000000156e+00,-3.307738889143789218e-01
8.676999999999999602e+00,-3.278173642501817087e-01
8.678000000000000824e+00,-3.249816571237472140e-01
8.679000000000000270e+00,-3.222690748233233982e-01
