# This is the header
# time,motor_current,linear_position,linear_speed,motor_angle,motor_speed,linear_encoder,motor_encoder,force_motor,force_gravity,force_friction,net_force,linear_acceleration,commanded_current
3.500000000000000333e-02,1.132745809542825555e+00,1.325227394347424834e-04,6.597211973602122061e-03,1.040831161604453436e+00,5.181438167610761525e+01,1.325227394347424834e-04,1.040831161604453436e+00,7.117251827288728236e+02,2.941995000000000005e+02,1.519389304131118834e+01,4.023317896875616384e+02,1.341105965625205565e-01,1.132745809542825555e+00
3.600000000000000422e-02,1.118618938036370025e+00,1.392511019387516417e-04,6.728362504009151139e-03,1.093675597137663935e+00,5.284443553321043652e+01,1.392511019387516417e-04,1.093675597137663935e+00,7.028490075802952788e+02,2.941995000000000005e+02,1.519791635920806350e+01,3.934515912210871988e+02,1.311505304070290645e-01,1.118618938036370025e+00
3.699999999999999817e-02,1.104504507849722872e+00,1.461076575423169300e-04,6.856555603565277907e-03,1.147526858920390413e+00,5.385126178272651742e+01,1.461076575423169300e-04,1.147526858920390413e+00,6.939806495434999078e+02,2.941995000000000005e+02,1.520185087512027522e+01,3.845792986683796357e+02,1.281930995561265385e-01,1.104504507849722872e+00
3.799999999999999906e-02,1.090410059862370273e+00,1.530894530292237785e-04,6.981795486906844546e-03,1.202361752446722942e+00,5.483489352633228719e+01,1.530894530292237785e-04,1.202361752446722942e+00,6.851248466928058178e+02,2.941995000000000005e+02,1.520569666810695786e+01,3.757196500246988649e+02,1.252398833415662993e-01,1.090410059862370273e+00
3.899999999999999994e-02,1.076343067349222249e+00,1.601935409630508736e-04,7.104087933827083617e-03,1.258157128605140507e+00,5.579537615841764620e+01,1.601935409630508736e-04,1.258157128605140507e+00,6.762862946253241034e+02,2.941995000000000005e+02,1.520945386460720528e+01,3.668773407607168906e+02,1.222924469202389675e-01,1.076343067349222249e+00
4.000000000000000083e-02,1.062310931804128389e+00,1.674169812372775586e-04,7.223440274226677199e-03,1.314889895853028623e+00,5.673276724788792791e+01,1.674169812372775586e-04,1.314889895853028623e+00,6.674696438367955125e+02,2.941995000000000005e+02,1.521312263801481279e+01,3.580570211987807170e+02,1.193523403995935678e-01,1.062310931804128389e+00
4.100000000000000172e-02,1.048320978818815474e+00,1.747568426094789134e-04,7.339861372201351812e-03,1.372537032266216706e+00,5.764713641318816428e+01,1.747568426094789134e-04,1.372537032266216706e+00,6.586794971322503898e+02,2.941995000000000005e+02,1.521670320822680011e+01,3.492632939240235714e+02,1.164210979746745228e-01,1.048320978818815474e+00
4.200000000000000261e-02,1.034380454019654172e+00,1.822102042187575513e-04,7.453361609278631381e-03,1.431075597456861637e+00,5.853856519064486719e+01,1.822102042187575513e-04,1.431075597456861637e+00,6.499204070730040712e+02,2.941995000000000005e+02,1.522019584116604030e+01,3.405007112318380109e+02,1.135002370772793395e-01,1.034380454019654172e+00
4.300000000000000350e-02,1.020496519064645558e+00,1.897741570855739079e-04,7.563952866816368338e-03,1.490482744353085920e+00,5.940714689622439693e+01,1.897741570855739079e-04,1.490482744353085920e+00,6.411968734614894174e+02,2.941995000000000005e+02,1.522360084827835891e+01,3.317737726132110652e+02,1.105912575377370199e-01,1.020496519064645558e+00
4.399999999999999745e-02,1.006676247702954274e+00,1.974458055931500812e-04,7.671648507576163054e-03,1.550735730833896930e+00,6.025298648081093944e+01,1.974458055931500812e-04,1.550735730833896930e+00,6.325133408653880451e+02,2.941995000000000005e+02,1.522691858600449066e+01,3.230869222793835434e+02,1.076956407597945142e-01,1.006676247702954274e+00
